Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/20  06:00:00,202.396379591,25.4178222887,26.160944148,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 08/20  07:00:00,206.673918297,25.4178222887,14.0183339382,0.0,6.98738001645,14.1499734587,5.41152818048,0.744747765138,3.5025,1.16428041534
 08/20  08:00:00,240.917921437,25.4178222887,14.2068779838,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 08/20  09:00:00,229.228718292,25.4178222887,16.8870717207,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 08/20  10:00:00,274.025242852,25.4178222887,28.629567978,0.0,27.9495200658,27.7759469175,8.16951381516,0.0,7.005,1.16451381516
 08/20  11:00:00,297.264912848,25.4178222887,36.23085637,0.0,27.9495200658,27.7759469175,7.025,0.0,7.005,0.02
 08/20  12:00:00,337.906165647,25.4178222887,49.914621309,0.0,41.9242800987,36.8599292233,10.5045241542,0.0,9.34,1.16452415418
 08/20  13:00:00,346.634960079,25.4178222887,55.6164427858,0.0,41.9242800987,36.8599292233,10.5045407621,0.0,9.34,1.1645407621
 08/20  14:00:00,342.272726236,25.4178222887,58.7969036457,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 08/20  15:00:00,340.035700046,25.4178222887,63.7412191847,0.0,41.9242800987,36.8599292233,10.5045223438,0.0,9.34,1.16452234383
 08/20  16:00:00,336.388550053,25.4178222887,61.3358656205,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 08/20  17:00:00,300.378087171,25.4178222887,55.8915535057,0.0,27.9495200658,27.7759469175,8.16952651134,0.0,7.005,1.16452651134
 08/20  18:00:00,290.65273059,25.4178222887,45.7587566485,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/20  19:00:00,275.8973004,25.4178222887,38.3504161256,0.0,13.9747600329,18.6919646116,5.83445555023,0.0,4.67,1.16445555023
 08/20  20:00:00,263.606050911,25.4178222887,32.1413342756,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/20  21:00:00,243.142226314,25.4178222887,45.8624126574,0.0,13.9747600329,18.6919646116,5.83431389406,0.0,4.67,1.16431389406
 08/20  22:00:00,137.290641784,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 08/20  23:00:00,164.413414084,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 08/20  24:00:00,146.828102373,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9154720706,0.0,1.75125,1.1642220706
 08/21  01:00:00,140.270666205,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/21  02:00:00,138.116794037,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/21  03:00:00,137.984318581,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/21  04:00:00,146.403932574,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920362477,0.0,2.335,1.16420362477
 08/21  05:00:00,146.38118781,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/21  06:00:00,213.825687295,25.4178222887,24.9938186694,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/21  07:00:00,209.958079804,25.4178222887,10.7549233047,0.0,13.9747600329,18.6919646116,5.33207643399,0.642076433986,4.67,0.02
 08/21  08:00:00,288.803688419,25.4178222887,14.6641423698,0.0,34.9369000822,32.3179380704,9.33697220825,0.0,8.1725,1.16447220825
 08/21  09:00:00,329.040842692,25.4178222887,21.7346206057,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/21  10:00:00,337.42761559,25.4178222887,29.3317488499,0.0,62.886420148,41.4019203762,11.6721913448,0.0,10.5075,1.16469134483
 08/21  11:00:00,363.191909428,25.4178222887,43.3325958949,0.0,62.886420148,41.4019203762,11.6722345333,0.0,10.5075,1.16473453334
 08/21  12:00:00,365.588889376,25.4178222887,47.8957739304,0.0,62.886420148,41.4019203762,11.6723083901,0.0,10.5075,1.16480839009
 08/21  13:00:00,357.808894406,25.4178222887,42.2274726153,0.0,62.886420148,41.4019203762,11.6723349779,0.0,10.5075,1.16483497787
 08/21  14:00:00,352.678740337,25.4178222887,44.3153819076,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/21  15:00:00,354.568071322,25.4178222887,50.4631847863,0.0,62.886420148,41.4019203762,11.6722254187,0.0,10.5075,1.16472541873
 08/21  16:00:00,357.959323286,25.4178222887,53.9434977668,0.0,62.886420148,41.4019203762,11.6722513175,0.0,10.5075,1.16475131752
 08/21  17:00:00,360.083438551,25.4178222887,55.2313270542,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/21  18:00:00,343.982111887,25.4178222887,46.7386218237,0.0,41.9242800987,36.8599292233,10.5045760659,0.0,9.34,1.16457606591
 08/21  19:00:00,321.371545776,25.4178222887,31.8463371223,0.0,41.9242800987,36.8599292233,10.5045350257,0.0,9.34,1.16453502573
 08/21  20:00:00,292.840447265,25.4178222887,21.5865159794,0.0,34.9369000822,32.3179380704,8.1925,0.0,8.1725,0.02
 08/21  21:00:00,217.296491667,25.4178222887,24.8218996055,0.0,13.9747600329,18.6919646116,5.83442888153,0.0,4.67,1.16442888153
 08/21  22:00:00,136.275186475,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/21  23:00:00,163.487727147,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/21  24:00:00,144.890244425,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/22  01:00:00,135.952650088,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923928516,0.0,2.335,1.16423928516
 08/22  02:00:00,134.866766118,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/22  03:00:00,134.519565567,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/22  04:00:00,163.802201629,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923874233,0.0,2.335,1.16423874233
 08/22  05:00:00,164.163303305,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/22  06:00:00,228.043876464,25.4178222887,17.031057657,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/22  07:00:00,232.489770058,25.4178222887,12.4642510048,0.0,13.9747600329,18.6919646116,5.42345514218,0.733455142182,4.67,0.02
 08/22  08:00:00,300.691195397,25.4178222887,17.7352942568,0.0,34.9369000822,32.3179380704,9.33694744822,0.0,8.1725,1.16444744822
 08/22  09:00:00,340.968070659,25.4178222887,25.7845351321,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/22  10:00:00,347.72756044,25.4178222887,34.2437517162,0.0,62.886420148,41.4019203762,11.6721681571,0.0,10.5075,1.16466815709
 08/22  11:00:00,346.348979626,25.4178222887,29.9893337163,0.0,62.886420148,41.4019203762,11.6723923281,0.0,10.5075,1.16489232809
 08/22  12:00:00,327.158073073,25.4178222887,20.4786325089,0.0,62.886420148,41.4019203762,11.6722878833,0.0,10.5075,1.16478788334
 08/22  13:00:00,335.762328067,25.4178222887,25.2481227639,0.0,62.886420148,41.4019203762,11.6723157498,0.0,10.5075,1.1648157498
 08/22  14:00:00,333.417919135,25.4178222887,27.5331783844,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/22  15:00:00,320.118641504,25.4178222887,22.9657652948,0.0,62.886420148,41.4019203762,11.6722070815,0.0,10.5075,1.16470708153
 08/22  16:00:00,312.180792657,25.4178222887,18.986306842,0.0,62.886420148,41.4019203762,11.6722342122,0.0,10.5075,1.16473421219
 08/22  17:00:00,310.680186784,25.4178222887,17.9122405899,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/22  18:00:00,305.982860233,25.4178222887,17.1117435994,0.0,41.9242800987,36.8599292233,10.5047062741,0.0,9.34,1.16470627409
 08/22  19:00:00,292.962985723,25.4178222887,16.7182696479,0.0,41.9242800987,36.8599292233,10.5045195837,0.0,9.34,1.1645195837
 08/22  20:00:00,279.815884393,25.4178222887,15.512566683,0.0,34.9369000822,32.3179380704,8.1925,0.0,8.1725,0.02
 08/22  21:00:00,203.922633676,25.4178222887,16.4593103263,0.0,13.9747600329,18.6919646116,5.83441415573,0.0,4.67,1.16441415573
 08/22  22:00:00,137.964539079,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/22  23:00:00,165.582444544,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/22  24:00:00,148.413545412,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/23  01:00:00,139.481990719,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922471816,0.0,2.335,1.16422471816
